"id","Test","RequestIdentifier","UIPrepaidCardNumber","UIDateOfBirth","PrepaidCardNumber","CustomerID","PrepaidCardStatus","DirectDepositEnrolled","PrepaidProgramPayFrequencyCode1","PrepaidProgramPayFrequencyCode2","OverDraftProductExists","CreditProductExists","FirstName","Middle Initial","LastName","HomePhone","WorkPhone","MobilePhone","Email","SMSEnrolled","MarketingOptIn","Address1","Address2","City","State","Zip","SSN","EmploymentStatus","EmployerName","EmployerPhone","UITakeHomePay","MonthlyIncome","RentOrOwn","MonthlyHousingPayment","PromoCode","SourceQueryString","IPAddress","AddressDifference","ApplicationID","Esignature","EmailEnrolled","Security Questions","ApplicationStatus","DistributionMethod","NoPreviousChargeOff","DirectDepositSource","Stated Paydate Frequency Code1","Stated Paydate Frequency Code2","Calc'd Paydate Frequency Code1","Calc'd Paydate Frequency Code2","Avg DD Amt 1","DD Count 1","DD Delinq 1","Advances 1","Avg Advance 1","Avg LOC 1","Avg DD Amt 1-6","DD Count 1-6","DD Delinq 1-6","Advances 1-6","Avg Advance 1-6","Avg LOC 1-6","Avg DD Amt 1-12","DD Count 1-12","DD Delinq 1-12","Advances 1-12","Avg Advance 1-12","Avg LOC 1-12","Avg DD Amt 1-24","DD Count 1-24","DD Delinq 1-24","Advances 1-24","Avg Advance 1-24","Avg LOC 1-24","Avg DD Amt 1-36","DD Count 1-36","DD Delinq 1-36","Advances 1-36","Avg Advance 1-36","Avg LOC 1-36","Avg DD Amt Total","DD Count Total","DD Delinq Total","Advances Total","Avg Advance Total","Avg LOC Total","# Transactions 1","# Cash Trans 1","Avg Cash Tran 1","Avg Transaction 1","# Loads 1","Avg Load 1","# Transactions 1-6","# Cash Trans 1-6","Avg Cash Tran 1-6","Avg Transaction 1-6","# Loads 1-6","Avg Load 1-6","# Transactions 1-12","# Cash Trans 1-12","Avg Cash Tran 1-12","Avg Transaction 1-12","# Loads 1-12","Avg Load 1-12","# Transactions 1-24","# Cash Trans 1-24","Avg Cash Tran 1-24","Avg Transaction 1-24","# Loads 1-24","Avg Load 1-24","# Transactions 1-36","# Cash Trans 1-36","Avg Cash Tran 1-36","Avg Transaction 1-36","# Loads 1-36","Avg Load 1-36","# Transactions Total","# Cash Trans Total","Avg Cash Tran Total","Avg Transaction Total","# Loads Total","Avg Load Total","NumConsecutiveGoodPayments","AbilityToPayCreditLine","CurrentDate","DateOpened","Days from DateOpened","Initial Tier","Initial Limit","Initial DDLevel","Initial # of Installments","Current Tier","Current Limit","Current DDLevel","Current # of Repayments","Current Block Code1","Current Block Code2","Change","New Tier","New Limit","New DDLevel","New # Repayments","New Block Code1","New Block Code2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4","Change","Tier","DDLevel","Repayments","LOC","Block Code 1","Block Code 2","NOAA Reason1","NOAA Reason2","NOAA Reason3","NOAA Reason4"
33,"6 DD's - level 4","R","4234567812345678","3/5/1990","4234567812345678",11111111143,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,625,1,250,,,,,,
34,"6 DD's - level 5","R","4234567812345678","3/5/1990","4234567812345678",11111111144,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,750,1,300,,,,,,
35,"6 DD's - level 6","R","4234567812345678","3/5/1990","4234567812345678",11111111145,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,1000,1,400,,,,,,
36,"6 DD's - level 7","R","4234567812345678","3/5/1990","4234567812345678",11111111146,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,1400,2800,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,880,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",2,1250,1,500,,,,,,
37,"7 DD's - level 1","R","5234567812345678","4/8/1984","5234567812345678",11111111147,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,250,2,150,,,,,,
38,"7 DD's - level 2","R","5234567812345678","4/8/1984","5234567812345678",11111111148,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,375,2,225,,,,,,
39,"7 DD's - level 3","R","5234567812345678","4/8/1984","5234567812345678",11111111149,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,500,2,300,,,,,,
40,"7 DD's - level 4","R","5234567812345678","4/8/1984","5234567812345678",11111111150,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,625,2,375,,,,,,
41,"7 DD's - level 5","R","5234567812345678","4/8/1984","5234567812345678",11111111151,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,750,2,450,,,,,,
42,"7 DD's - level 6","R","5234567812345678","4/8/1984","5234567812345678",11111111152,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,1000,2,600,,,,,,
43,"7 DD's - level 7","R","5234567812345678","4/8/1984","5234567812345678",11111111153,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,1250,2,750,,,,,,
44,"12 DD's - level 1","R","6234567812345678","4/8/1984","6234567812345678",11111111154,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,250,2,150,,,,,,
45,"12 DD's - level 2","R","6234567812345678","4/8/1984","6234567812345678",11111111155,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,375,2,225,,,,,,
46,"12 DD's - level 3","R","6234567812345678","4/8/1984","6234567812345678",11111111156,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,500,2,300,,,,,,
47,"12 DD's - level 4","R","6234567812345678","4/8/1984","6234567812345678",11111111157,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,749,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,625,2,375,,,,,,
48,"12 DD's - level 5","R","6234567812345678","4/8/1984","6234567812345678",11111111158,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,750,2,450,,,,,,
49,"12 DD's - level 6","R","6234567812345678","4/8/1984","6234567812345678",11111111159,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,1000,2,600,,,,,,
50,"12 DD's - level 7","R","6234567812345678","4/8/1984","6234567812345678",11111111160,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,1300,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",3,1250,2,750,,,,,,
51,"12 DD's - level 7 - Low ATP","R","6234567812345678","4/8/1984","6234567812345678",11111111160,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,1750,3500,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,99,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Declined Low ATP",,,,,,,"Low ATP",,,
52,"Pending to Approved","B","1234567812345678","1/2/1980","1234567812345678",11111111111,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,800,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,1000,1,100,,,,,,
53,"Pending to No Change","B","2234567812345678","1/3/1965","2234567812345678",11111111112,"Active","TRUE",61,75,"FALSE","FALSE","Jane",,"Doe",6052234567,,,"janedoe@sio.midco.net",,,"223 First St",,"Sioux Falls","SD",57102,223456789,,,,2000,4000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,2,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"No Change",,,,,,,,,,
54,"Suspended - No DD","B","3234567812345678","2/3/1967","3234567812345678",11111111113,"Active","TRUE",61,75,"FALSE","FALSE","Josh",,"Doe",6053234567,,,"Joshdoe@sio.midco.net",,,"323 Second St",,"Sioux Falls","SD",57102,323456789,,,,1200,2400,"Rent",750,,"http://www.blackhawknetwork.com","123.123.123",,3,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,550,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,660,"6/9/2011",,,,,,,1,100,500,1,,,,,,,,,,,,,,"Suspended",1,500,1,100,,"L","No DD",,,
55,"Suspended - Low DD","B","4234567812345678","3/5/1990","4234567812345678",11111111114,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,249.99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,700,"6/9/2011",,,,,,,2,100,250,1,,,,,,,,,,,,,,"Suspended",2,250,1,100,,"L","Low DD",,,
56,"No Change","B","5234567812345678","4/8/1984","5234567812345678",11111111115,"Active","TRUE",61,75,"FALSE","FALSE","Jay",,"Walker",6054222221,,,"JayWalker@sio.midco.net",,,"500 Fifth St",,"Sioux Falls","SD",57102,523456789,,,,1500,3000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,5,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,1500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,800,"6/9/2011",,,,,,,3,750,1250,2,,,,,,,,,,,,,,"No Change",3,1250,2,750,,,,,,
57,"Risk Tier Graduation","B","6234567812345678","6/16/1994","6234567812345678",11111111116,"Active","TRUE",61,75,"FALSE","FALSE","Failed",,"Miserably",6050000000,,,"FailedMiserably@sio.midco.net",,,"000 Zero St",,"Sioux Falls","SD",57102,623456789,,,,600,1200,"Rent",250,,"http://www.blackhawknetwork.com","123.123.123",,6,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,700,"6/9/2011",,,,,,,3,300,500,2,,,,,,,,,,,,,,"Improved",4,500,3,500,,,,,,
58,"Credit Line Increase","B","7234567812345678","5/12/1981","7234567812345678",11111111117,"Active","TRUE",61,75,"FALSE","FALSE","Passed",,"Perfect",6056056050,,,"PassedPerfect@sio.midco.net",,,"000 Nothing St",,"Sioux Falls","SD",57102,723456789,,,,2500,5000,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,7,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,375,625,2,,,,,,,,,,,,,,"Increased",3,750,2,450,,,,,,
59,"Credit Line Decrease","B","8234567812345678","5/12/1980","8234567812345678",11111111118,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,400,800,"Rent",0,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1760,"6/9/2011",,,,,,,3,375,625,2,,,,,,,,,,,,,,"Decreased",3,500,2,300,,,"Reduced DD",,,
60,"Risk Tier Grad + CL Decrease","B","9234567812345678","4/13/1964","9234567812345678",11111111119,"Active","TRUE",61,75,"FALSE","FALSE","Missed",,"Opp",6056056054,,,"MissedOpp@sio.midco.net",,,"123 More Ave",,"Sioux Falls","SD",57102,823456789,,,,500,1000,"Rent",100,,"http://www.blackhawknetwork.com","123.123.123",,8,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,1400,"6/9/2011",,,,,,,3,375,625,2,,,,,,,,,,,,,,"Improved",4,500,2,300,,,"Reduced DD",,,
61,"Risk Tier Grad + CL Increase","B","1034567812345678","3/5/1990","1034567812345678",11111111120,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1400,"6/9/2011",,,,,,,4,625,625,3,,,,,,,,,,,,,,"Improved",5,750,4,1050,,,,,,
62,"Unsuspended","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,260,"6/9/2011",,,,,,,4,250,250,3,,"L",,,,,,,,,,,,"Unsuspended",4,250,3,250,,,,,,
63,"Suspended - Inactive Card","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Inactive","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,500,"6/9/2011",,,,,,,4,250,250,3,,,,,,,,,,,,,,"Suspended",4,250,3,250,,"L","Inactive Card",,,
64,"No Change - Existing Block Code","B","1034567812345678","3/5/1990","1034567812345678",11111111121,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,500,"6/9/2011",,,,,,,4,250,250,3,,"L",,,,,,,,,,,,"No Change",3,250,2,250,,"L",,,,
65,"Pending 1 DD (Low Direct Deposit)","B","1034567812345678","3/5/1990","1034567812345678",11111111124,"Active","TRUE",61,75,"FALSE","FALSE","Brain",,"Dead",6054222220,,,"BrainDead@sio.midco.net",,,"400 Fourth St",,"Sioux Falls","SD",57102,423456789,,,,600,1200,"Rent",600,,"http://www.blackhawknetwork.com","123.123.123",,4,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"No Change",,,,,,,,,,
66,"Pending 1 DD - level 1","B","1234567812345678","1/2/1980","1234567812345678",11111111126,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,250,1,100,,,,,,
67,"Pending 1 DD - level 2","B","1234567812345678","1/2/1980","1234567812345678",11111111127,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,375,1,100,,,,,,
68,"Pending 1 DD - level 3","B","1234567812345678","1/2/1980","1234567812345678",11111111128,"Active","TRUE",61,75,"FALSE","FALSE","Joe",,"Blow",6051234567,,,"joeblow@sio.midco.net",,,"123 Main St",,"Sioux Falls","SD",57102,123456789,,,,1500,3000,"Rent",1000,,"http://www.blackhawknetwork.com","123.123.123",,1,"TRUE","TRUE",,"Submitted","PrepaidCard","TRUE",,61,75,61,75,,,,,,,525,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1200,"6/9/2011",,,,,,,,,,,,,,,,,,,,,,,,"Approved",1,500,1,100,,,,,,
